ScholarshipID,ScholarshipName,State,Qualification,Category,Origin,Type,Availability,Amount,Deadline,ApplicationLink,Description
ID-23,Vidya Siri Scholarship,Karnataka,Class XI - XII,Economically Backward Class,National,Scholarship,Active,25000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing Class XI - XII in Karnataka.
ID-24,Vidya Siri Scholarship,Karnataka,Class XI - XII,BPL,National,Scholarship,Active,30000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing Class XI - XII in Karnataka.
ID-25,Vidya Siri Scholarship,Karnataka,Diploma/ITI,General,National,Scholarship,Active,35000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing Diploma/ITI in Karnataka.
ID-26,Vidya Siri Scholarship,Karnataka,Diploma/ITI,SC/ST/OBC,National,Scholarship,Active,40000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing Diploma/ITI in Karnataka.
ID-27,Vidya Siri Scholarship,Karnataka,Diploma/ITI,Girls,National,Scholarship,Active,45000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing Diploma/ITI in Karnataka.
ID-28,Vidya Siri Scholarship,Karnataka,Diploma/ITI,Minority,National,Scholarship,Active,50000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing Diploma/ITI in Karnataka.
ID-29,Vidya Siri Scholarship,Karnataka,Diploma/ITI,Economically Backward Class,National,Scholarship,Active,55000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing Diploma/ITI in Karnataka.
ID-30,Vidya Siri Scholarship,Karnataka,Diploma/ITI,BPL,National,Scholarship,Active,10000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing Diploma/ITI in Karnataka.
ID-31,Vidya Siri Scholarship,Karnataka,Graduation,General,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing Graduation in Karnataka.
ID-32,Vidya Siri Scholarship,Karnataka,Graduation,SC/ST/OBC,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing Graduation in Karnataka.
ID-33,Vidya Siri Scholarship,Karnataka,Graduation,Girls,National,Scholarship,Active,25000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing Graduation in Karnataka.
ID-34,Vidya Siri Scholarship,Karnataka,Graduation,Minority,National,Scholarship,Active,30000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing Graduation in Karnataka.
ID-35,Vidya Siri Scholarship,Karnataka,Graduation,Economically Backward Class,National,Scholarship,Active,35000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing Graduation in Karnataka.
ID-36,Vidya Siri Scholarship,Karnataka,Graduation,BPL,National,Scholarship,Active,40000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing Graduation in Karnataka.
ID-37,Vidya Siri Scholarship,Karnataka,Post Graduation,General,National,Scholarship,Active,45000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing Post Graduation in Karnataka.
ID-38,Vidya Siri Scholarship,Karnataka,Post Graduation,SC/ST/OBC,National,Scholarship,Active,50000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing Post Graduation in Karnataka.
ID-39,Vidya Siri Scholarship,Karnataka,Post Graduation,Girls,National,Scholarship,Active,55000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing Post Graduation in Karnataka.
ID-40,Vidya Siri Scholarship,Karnataka,Post Graduation,Minority,National,Scholarship,Active,10000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing Post Graduation in Karnataka.
ID-41,Vidya Siri Scholarship,Karnataka,Post Graduation,Economically Backward Class,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing Post Graduation in Karnataka.
ID-42,Vidya Siri Scholarship,Karnataka,Post Graduation,BPL,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing Post Graduation in Karnataka.
ID-43,Vidya Siri Scholarship,Karnataka,Ph. D.,General,National,Scholarship,Active,25000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing Ph. D. in Karnataka.
ID-44,Vidya Siri Scholarship,Karnataka,Ph. D.,SC/ST/OBC,National,Scholarship,Active,30000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing Ph. D. in Karnataka.
ID-45,Vidya Siri Scholarship,Karnataka,Ph. D.,Girls,National,Scholarship,Active,35000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing Ph. D. in Karnataka.
ID-46,Vidya Siri Scholarship,Karnataka,Ph. D.,Minority,National,Scholarship,Active,40000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing Ph. D. in Karnataka.
ID-47,Vidya Siri Scholarship,Karnataka,Ph. D.,Economically Backward Class,National,Scholarship,Active,45000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing Ph. D. in Karnataka.
ID-48,Vidya Siri Scholarship,Karnataka,Ph. D.,BPL,National,Scholarship,Active,50000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing Ph. D. in Karnataka.
ID-49,Vidya Siri Scholarship,Karnataka,Class X,General,National,Scholarship,Active,55000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing Class X in Karnataka.
ID-50,Vidya Siri Scholarship,Karnataka,Class X,SC/ST/OBC,National,Scholarship,Active,10000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing Class X in Karnataka.
ID-51,Vidya Siri Scholarship,Karnataka,Class X,Girls,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing Class X in Karnataka.
ID-52,Vidya Siri Scholarship,Karnataka,Class X,Minority,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing Class X in Karnataka.
ID-53,Vidya Siri Scholarship,Karnataka,Class X,Economically Backward Class,National,Scholarship,Active,25000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing Class X in Karnataka.
ID-54,Vidya Siri Scholarship,Karnataka,Class X,BPL,National,Scholarship,Active,30000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing Class X in Karnataka.
ID-55,Vidya Siri Scholarship,Karnataka,Class XII,General,National,Scholarship,Active,35000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing Class XII in Karnataka.
ID-56,Vidya Siri Scholarship,Karnataka,Class XII,SC/ST/OBC,National,Scholarship,Active,40000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing Class XII in Karnataka.
ID-57,Vidya Siri Scholarship,Karnataka,Class XII,Girls,National,Scholarship,Active,45000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing Class XII in Karnataka.
ID-58,Vidya Siri Scholarship,Karnataka,Class XII,Minority,National,Scholarship,Active,50000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing Class XII in Karnataka.
ID-59,Vidya Siri Scholarship,Karnataka,Class XII,Economically Backward Class,National,Scholarship,Active,55000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing Class XII in Karnataka.
ID-60,Vidya Siri Scholarship,Karnataka,Class XII,BPL,National,Scholarship,Active,10000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing Class XII in Karnataka.
ID-61,Vidya Siri Scholarship,Karnataka,MBBS,General,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing MBBS in Karnataka.
ID-62,Vidya Siri Scholarship,Karnataka,MBBS,SC/ST/OBC,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing MBBS in Karnataka.
ID-63,Vidya Siri Scholarship,Karnataka,MBBS,Girls,National,Scholarship,Active,25000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing MBBS in Karnataka.
ID-64,Vidya Siri Scholarship,Karnataka,MBBS,Minority,National,Scholarship,Active,30000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing MBBS in Karnataka.
ID-65,Vidya Siri Scholarship,Karnataka,MBBS,Economically Backward Class,National,Scholarship,Active,35000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing MBBS in Karnataka.
ID-66,Vidya Siri Scholarship,Karnataka,MBBS,BPL,National,Scholarship,Active,40000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing MBBS in Karnataka.
ID-67,Vidya Siri Scholarship,Karnataka,B.Tech.,General,National,Scholarship,Active,45000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing B.Tech. in Karnataka.
ID-68,Vidya Siri Scholarship,Karnataka,B.Tech.,SC/ST/OBC,National,Scholarship,Active,50000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing B.Tech. in Karnataka.
ID-69,Vidya Siri Scholarship,Karnataka,B.Tech.,Girls,National,Scholarship,Active,55000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing B.Tech. in Karnataka.
ID-70,Vidya Siri Scholarship,Karnataka,B.Tech.,Minority,National,Scholarship,Active,10000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing B.Tech. in Karnataka.
ID-71,Vidya Siri Scholarship,Karnataka,B.Tech.,Economically Backward Class,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing B.Tech. in Karnataka.
ID-72,Vidya Siri Scholarship,Karnataka,B.Tech.,BPL,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing B.Tech. in Karnataka.
ID-73,Vidya Siri Scholarship,Karnataka,MCA,General,National,Scholarship,Active,25000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing MCA in Karnataka.
ID-74,Vidya Siri Scholarship,Karnataka,MCA,SC/ST/OBC,National,Scholarship,Active,30000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing MCA in Karnataka.
ID-75,Vidya Siri Scholarship,Karnataka,MCA,Girls,National,Scholarship,Active,35000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing MCA in Karnataka.
ID-76,Vidya Siri Scholarship,Karnataka,MCA,Minority,National,Scholarship,Active,40000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing MCA in Karnataka.
ID-77,Vidya Siri Scholarship,Karnataka,MCA,Economically Backward Class,National,Scholarship,Active,45000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing MCA in Karnataka.
ID-78,Vidya Siri Scholarship,Karnataka,MCA,BPL,National,Scholarship,Active,50000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing MCA in Karnataka.
ID-79,Vidya Siri Scholarship,Karnataka,MBA,General,National,Scholarship,Active,55000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing MBA in Karnataka.
ID-80,Vidya Siri Scholarship,Karnataka,MBA,SC/ST/OBC,National,Scholarship,Active,10000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing MBA in Karnataka.
ID-81,Vidya Siri Scholarship,Karnataka,MBA,Girls,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing MBA in Karnataka.
ID-82,Vidya Siri Scholarship,Karnataka,MBA,Minority,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing MBA in Karnataka.
ID-83,Vidya Siri Scholarship,Karnataka,MBA,Economically Backward Class,National,Scholarship,Active,25000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing MBA in Karnataka.
ID-84,Vidya Siri Scholarship,Karnataka,MBA,BPL,National,Scholarship,Active,30000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing MBA in Karnataka.
ID-85,Vidya Siri Scholarship,Karnataka,BBA,General,National,Scholarship,Active,35000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing BBA in Karnataka.
ID-86,Vidya Siri Scholarship,Karnataka,BBA,SC/ST/OBC,National,Scholarship,Active,40000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing BBA in Karnataka.
ID-87,Vidya Siri Scholarship,Karnataka,BBA,Girls,National,Scholarship,Active,45000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing BBA in Karnataka.
ID-88,Vidya Siri Scholarship,Karnataka,BBA,Minority,National,Scholarship,Active,50000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing BBA in Karnataka.
ID-89,Vidya Siri Scholarship,Karnataka,BBA,Economically Backward Class,National,Scholarship,Active,55000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing BBA in Karnataka.
ID-90,Vidya Siri Scholarship,Karnataka,BBA,BPL,National,Scholarship,Active,10000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing BBA in Karnataka.
ID-91,Vidya Siri Scholarship,Karnataka,BCA,General,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing BCA in Karnataka.
ID-92,Vidya Siri Scholarship,Karnataka,BCA,SC/ST/OBC,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing BCA in Karnataka.
ID-93,Vidya Siri Scholarship,Karnataka,BCA,Girls,National,Scholarship,Active,25000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing BCA in Karnataka.
ID-94,Vidya Siri Scholarship,Karnataka,BCA,Minority,National,Scholarship,Active,30000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing BCA in Karnataka.
ID-95,Vidya Siri Scholarship,Karnataka,BCA,Economically Backward Class,National,Scholarship,Active,35000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing BCA in Karnataka.
ID-96,Vidya Siri Scholarship,Karnataka,BCA,BPL,National,Scholarship,Active,40000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing BCA in Karnataka.
ID-97,Vidya Siri Scholarship,Karnataka,B.Sc.,General,National,Scholarship,Active,45000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing B.Sc. in Karnataka.
ID-98,Vidya Siri Scholarship,Karnataka,B.Sc.,SC/ST/OBC,National,Scholarship,Active,50000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing B.Sc. in Karnataka.
ID-99,Vidya Siri Scholarship,Karnataka,B.Sc.,Girls,National,Scholarship,Active,55000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing B.Sc. in Karnataka.
ID-100,Vidya Siri Scholarship,Karnataka,B.Sc.,Minority,National,Scholarship,Active,10000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing B.Sc. in Karnataka.
ID-101,Vidya Siri Scholarship,Karnataka,B.Sc.,Economically Backward Class,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing B.Sc. in Karnataka.
ID-102,Vidya Siri Scholarship,Karnataka,B.Sc.,BPL,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing B.Sc. in Karnataka.
ID-103,Vidya Siri Scholarship,Karnataka,MS,General,National,Scholarship,Active,25000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing MS in Karnataka.
ID-104,Vidya Siri Scholarship,Karnataka,MS,SC/ST/OBC,National,Scholarship,Active,30000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing MS in Karnataka.
ID-105,Vidya Siri Scholarship,Karnataka,MS,Girls,National,Scholarship,Active,35000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing MS in Karnataka.
ID-106,Vidya Siri Scholarship,Karnataka,MS,Minority,National,Scholarship,Active,40000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing MS in Karnataka.
ID-107,Vidya Siri Scholarship,Karnataka,MS,Economically Backward Class,National,Scholarship,Active,45000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing MS in Karnataka.
ID-108,Vidya Siri Scholarship,Karnataka,MS,BPL,National,Scholarship,Active,50000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing MS in Karnataka.
ID-109,Vidya Siri Scholarship,Karnataka,DNB,General,National,Scholarship,Active,55000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing DNB in Karnataka.
ID-110,Vidya Siri Scholarship,Karnataka,DNB,SC/ST/OBC,National,Scholarship,Active,10000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing DNB in Karnataka.
ID-111,Vidya Siri Scholarship,Karnataka,DNB,Girls,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing DNB in Karnataka.
ID-112,Vidya Siri Scholarship,Karnataka,DNB,Minority,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing DNB in Karnataka.
ID-113,Vidya Siri Scholarship,Karnataka,DNB,Economically Backward Class,National,Scholarship,Active,25000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing DNB in Karnataka.
ID-114,Vidya Siri Scholarship,Karnataka,DNB,BPL,National,Scholarship,Active,30000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing DNB in Karnataka.
ID-115,Vidya Siri Scholarship,Karnataka,MD,General,National,Scholarship,Active,35000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing MD in Karnataka.
ID-116,Vidya Siri Scholarship,Karnataka,MD,SC/ST/OBC,National,Scholarship,Active,40000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing MD in Karnataka.
ID-117,Vidya Siri Scholarship,Karnataka,MD,Girls,National,Scholarship,Active,45000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing MD in Karnataka.
ID-118,Vidya Siri Scholarship,Karnataka,MD,Minority,National,Scholarship,Active,50000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing MD in Karnataka.
ID-119,Vidya Siri Scholarship,Karnataka,MD,Economically Backward Class,National,Scholarship,Active,55000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing MD in Karnataka.
ID-120,Vidya Siri Scholarship,Karnataka,MD,BPL,National,Scholarship,Active,10000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing MD in Karnataka.
ID-121,Vidya Siri Scholarship,Karnataka,MDS,General,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing MDS in Karnataka.
ID-122,Vidya Siri Scholarship,Karnataka,MDS,SC/ST/OBC,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing MDS in Karnataka.
